Win 32 APPs Name                                                                                    | Version              
Windows SDK Modern Non-Versioned Developer Tools                                                      10.1.16299.15        
Microsoft Azure Authoring Tools - v2.9.5.3                                                            2.9.8699.20          
Visual C++ Library CRT Desktop Appx Package                                                           14.13.26128          
Windows SDK for Windows Store Apps Headers                                                            10.1.16299.15        
Windows SDK Desktop Libs x64                                                                          10.1.16299.15        
DiagnosticsHub_CollectionService                                                                      15.6.27309           
Microsoft SQL Server 2012 Native Client                                                               11.3.6518.0          
Microsoft .NET CoreRuntime SDK                                                                        1.1.25915.0          
Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.12.25810                                           14.12.25810          
vs_devenvmsi                                                                                          15.0.26621           
WinAppDeploy                                                                                          10.1.16299.15        
Python 3.6.3 Standard Library (64-bit)                                                                3.6.3150.0           
Universal CRT Redistributable                                                                         10.1.16299.15        
Visual C++ Library CRT Desktop Appx Package                                                           14.13.26128          
Windows SDK for Windows Store Apps Tools                                                              10.1.16299.15        
SDK ARM Redistributables                                                                              10.1.16299.15        
Windows Team Extension SDK Contracts                                                                  10.1.16299.15        
Visual C++ Library CRT Appx Package                                                                   14.13.26128          
Python 3.6.3 Core Interpreter (64-bit)                                                                3.6.3150.0           
Windows SDK Facade Windows WinMD Versioned                                                            10.1.16299.15        
Windows SDK Signing Tools                                                                             10.1.16299.15        
Imaging And Configuration Designer                                                                    10.1.17134.1         
Microsoft Portable Library Multi-Targeting Pack                                                       15.0.26621.02        
Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.12.25810                                           14.12.25810          
Visual C++ Library CRT Appx Package                                                                   14.13.26128          
vs_tipsmsi                                                                                            15.0.27005           
Microsoft ASP.NET Core 2.0.6 Runtime Package Store (x64)                                              2.0.12620.0          
Windows SDK EULA                                                                                      10.1.16299.15        
vs_minshellmsires                                                                                     15.0.26621           
VS Script Debugging Common                                                                            16.0.76.0            
Windows SDK for Windows Store Apps Metadata                                                           10.1.16299.15        
Windows Phone SDK 8.0 Assemblies for Visual Studio 2017                                               15.0.27309           
Windows SDK for Windows Store Apps Contracts                                                          10.1.16299.15        
windows_toolscorepkg                                                                                  15.6.27421           
Windows SDK Redistributables                                                                          10.1.16299.15        
Windows SDK DirectX x86 Remote                                                                        10.1.16299.15        
Windows SDK AddOn                                                                                     10.1.0.0             
vs_SQLClickOnceBootstrappermsi                                                                        15.0.27005           
Application Verifier x64 External Package                                                             10.1.16299.15        
Active Directory Authentication Library for SQL Server                                                13.1.4001.0          
Windows SDK for Windows Store Apps DirectX x64 Remote                                                 10.1.16299.15        
Imaging Designer                                                                                      10.1.17134.1         
ATK Package                                                                                           1.0.0050             
WinRT Intellisense PPI - Other Languages                                                              10.1.16299.15        
Microsoft UniversalWindowsPlatform SDK                                                                15.6.2               
Windows Deployment Tools                                                                              10.1.17134.1         
Entity Framework 6.1.3 Tools  for Visual Studio 15                                                    6.1.60104.0          
Universal CRT Tools x64                                                                               10.1.16299.15        
WinRT Intellisense PPI - en-us                                                                        10.1.16299.15        
Microsoft ASP.NET Core Module for IIS Express                                                         1.0.1985             
Windows SDK for Windows Store Apps DirectX x86 Remote                                                 10.1.16299.15        
Python 3.6.3 Development Libraries (64-bit)                                                           3.6.3150.0           
Microsoft .NET Core SDK - 2.1.4 (x64)                                                                 8.17.7260            
Volume Activation Management Tool                                                                     10.1.17134.1         
vs_BlendMsi                                                                                           15.0.27205           
vs_filehandler_amd64                                                                                  15.6.27406           
WinRT Intellisense IoT - en-us                                                                        10.1.16299.15        
